"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"T10101","A191RL","1","Gross domestic product","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",-1,"T10101"
"T10101","A191RL","1","Gross domestic product","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",0.6,"T10101"
"T10101","A191RL","1","Gross domestic product","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",2.9,"T10101"
"T10101","A191RL","1","Gross domestic product","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",2.8,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",2.9,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",4.7,"T10101"
"T10101","A191RL","1","Gross domestic product","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.4,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",0.8,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",3.6,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",3.3,"T10101"
"T10101","A191RL","1","Gross domestic product","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",1.9,"T10101"
"T10101","A191RL","1","Gross domestic product","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",-0.6,"T10101"
"T10101","A191RL","1","Gross domestic product","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",3.8,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",0.4,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",3.3,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",1.9,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",0.8,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",4.5,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",1.5,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",3.1,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",1.7,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",3.9,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",4,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",3.9,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",0.6,"T10101"
"T10101","DPCERL","2","Personal consumption expenditures","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","DGDSRL","3","Goods","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",-2,"T10101"
"T10101","DGDSRL","3","Goods","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",-0.4,"T10101"
"T10101","DGDSRL","3","Goods","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-2.5,"T10101"
"T10101","DGDSRL","3","Goods","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-2.3,"T10101"
"T10101","DGDSRL","3","Goods","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",7.2,"T10101"
"T10101","DGDSRL","3","Goods","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",0.4,"T10101"
"T10101","DGDSRL","3","Goods","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",4.4,"T10101"
"T10101","DGDSRL","3","Goods","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DGDSRL","3","Goods","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-1.3,"T10101"
"T10101","DGDSRL","3","Goods","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",5.5,"T10101"
"T10101","DGDSRL","3","Goods","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",6.1,"T10101"
"T10101","DGDSRL","3","Goods","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",6.9,"T10101"
"T10101","DGDSRL","3","Goods","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",0.2,"T10101"
"T10101","DGDSRL","3","Goods","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",0,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",-1.3,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-1.5,"T10101"
"T10101","DDURRL","4","Durable goods","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-4.8,"T10101"
"T10101","DDURRL","4","Durable goods","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",18,"T10101"
"T10101","DDURRL","4","Durable goods","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",0.1,"T10101"
"T10101","DDURRL","4","Durable goods","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",6.3,"T10101"
"T10101","DDURRL","4","Durable goods","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",0.2,"T10101"
"T10101","DDURRL","4","Durable goods","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-0.9,"T10101"
"T10101","DDURRL","4","Durable goods","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",7.8,"T10101"
"T10101","DDURRL","4","Durable goods","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",8.6,"T10101"
"T10101","DDURRL","4","Durable goods","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",13,"T10101"
"T10101","DDURRL","4","Durable goods","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",-3.4,"T10101"
"T10101","DDURRL","4","Durable goods","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",-3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",0.1,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-0.9,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",1.8,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",0.6,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",3.3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-1.6,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",4.3,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",4.8,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",3.8,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DNDGRL","5","Nondurable goods","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.2,"T10101"
"T10101","DSERRL","6","Services","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",1.6,"T10101"
"T10101","DSERRL","6","Services","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",5.3,"T10101"
"T10101","DSERRL","6","Services","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",4.2,"T10101"
"T10101","DSERRL","6","Services","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",2.3,"T10101"
"T10101","DSERRL","6","Services","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DSERRL","6","Services","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",2,"T10101"
"T10101","DSERRL","6","Services","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",2.4,"T10101"
"T10101","DSERRL","6","Services","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.4,"T10101"
"T10101","DSERRL","6","Services","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DSERRL","6","Services","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",3.2,"T10101"
"T10101","DSERRL","6","Services","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",3,"T10101"
"T10101","DSERRL","6","Services","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","DSERRL","6","Services","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",0.8,"T10101"
"T10101","DSERRL","6","Services","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",2.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",7.9,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",-8.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-6.7,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",8,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",-7.1,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",7.2,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",9.4,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-1.6,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",8.2,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",0.9,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-6.8,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",23.3,"T10101"
"T10101","A006RL","7","Gross private domestic investment","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",-13.8,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",6.7,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",1.9,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-2.2,"T10101"
"T10101","A007RL","8","Fixed investment","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-0.5,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",4.9,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",9.5,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",3.8,"T10101"
"T10101","A007RL","8","Fixed investment","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",4.6,"T10101"
"T10101","A007RL","8","Fixed investment","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",3,"T10101"
"T10101","A007RL","8","Fixed investment","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",1.4,"T10101"
"T10101","A007RL","8","Fixed investment","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",1.5,"T10101"
"T10101","A007RL","8","Fixed investment","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-1.9,"T10101"
"T10101","A007RL","8","Fixed investment","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",7.1,"T10101"
"T10101","A007RL","8","Fixed investment","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",4.4,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",12.2,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",7,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",6,"T10101"
"T10101","A008RL","9","Nonresidential","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",7.1,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",8.5,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",11,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",1.7,"T10101"
"T10101","A008RL","9","Nonresidential","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",5.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",1.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",3.5,"T10101"
"T10101","A008RL","9","Nonresidential","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-3.7,"T10101"
"T10101","A008RL","9","Nonresidential","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",9.5,"T10101"
"T10101","A008RL","9","Nonresidential","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",7.3,"T10101"
"T10101","A009RL","10","Structures","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",7.9,"T10101"
"T10101","A009RL","10","Structures","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",8.9,"T10101"
"T10101","A009RL","10","Structures","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",10.7,"T10101"
"T10101","A009RL","10","Structures","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",11.5,"T10101"
"T10101","A009RL","10","Structures","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",30.5,"T10101"
"T10101","A009RL","10","Structures","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",20.1,"T10101"
"T10101","A009RL","10","Structures","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",6.8,"T10101"
"T10101","A009RL","10","Structures","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",11.3,"T10101"
"T10101","A009RL","10","Structures","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",-5,"T10101"
"T10101","A009RL","10","Structures","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",-3.9,"T10101"
"T10101","A009RL","10","Structures","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",-2.2,"T10101"
"T10101","A009RL","10","Structures","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-8.1,"T10101"
"T10101","A009RL","10","Structures","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",-3.1,"T10101"
"T10101","A009RL","10","Structures","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",-7.5,"T10101"
"T10101","Y033RL","11","Equipment","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",12.9,"T10101"
"T10101","Y033RL","11","Equipment","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",0.7,"T10101"
"T10101","Y033RL","11","Equipment","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",2.7,"T10101"
"T10101","Y033RL","11","Equipment","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",2.5,"T10101"
"T10101","Y033RL","11","Equipment","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",-0.2,"T10101"
"T10101","Y033RL","11","Equipment","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",12.6,"T10101"
"T10101","Y033RL","11","Equipment","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",-2.6,"T10101"
"T10101","Y033RL","11","Equipment","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",3.3,"T10101"
"T10101","Y033RL","11","Equipment","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",0.5,"T10101"
"T10101","Y033RL","11","Equipment","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",8.9,"T10101"
"T10101","Y033RL","11","Equipment","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",8.2,"T10101"
"T10101","Y033RL","11","Equipment","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-4.3,"T10101"
"T10101","Y033RL","11","Equipment","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",21.4,"T10101"
"T10101","Y033RL","11","Equipment","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",8.5,"T10101"
"T10101","Y001RL","12","Intellectual property products","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",13.8,"T10101"
"T10101","Y001RL","12","Intellectual property products","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",12.4,"T10101"
"T10101","Y001RL","12","Intellectual property products","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",6.9,"T10101"
"T10101","Y001RL","12","Intellectual property products","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",9.3,"T10101"
"T10101","Y001RL","12","Intellectual property products","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",5.5,"T10101"
"T10101","Y001RL","12","Intellectual property products","2023Q2","Fisher Quantity Index","Percent change, annual rate","0",4.7,"T10101"
"T10101","Y001RL","12","Intellectual property products","2023Q3","Fisher Quantity Index","Percent change, annual rate","0",2.9,"T10101"
"T10101","Y001RL","12","Intellectual property products","2023Q4","Fisher Quantity Index","Percent change, annual rate","0",4.2,"T10101"
"T10101","Y001RL","12","Intellectual property products","2024Q1","Fisher Quantity Index","Percent change, annual rate","0",6.7,"T10101"
"T10101","Y001RL","12","Intellectual property products","2024Q2","Fisher Quantity Index","Percent change, annual rate","0",0.7,"T10101"
"T10101","Y001RL","12","Intellectual property products","2024Q3","Fisher Quantity Index","Percent change, annual rate","0",2.6,"T10101"
"T10101","Y001RL","12","Intellectual property products","2024Q4","Fisher Quantity Index","Percent change, annual rate","0",-0.6,"T10101"
"T10101","Y001RL","12","Intellectual property products","2025Q1","Fisher Quantity Index","Percent change, annual rate","0",6.5,"T10101"
"T10101","Y001RL","12","Intellectual property products","2025Q2","Fisher Quantity Index","Percent change, annual rate","0",15,"T10101"
"T10101","A011RL","13","Residential","2022Q1","Fisher Quantity Index","Percent change, annual rate","0",-6.9,"T10101"
"T10101","A011RL","13","Residential","2022Q2","Fisher Quantity Index","Percent change, annual rate","0",-11.1,"T10101"
"T10101","A011RL","13","Residential","2022Q3","Fisher Quantity Index","Percent change, annual rate","0",-23,"T10101"
"T10101","A011RL","13","Residential","2022Q4","Fisher Quantity Index","Percent change, annual rate","0",-21.3,"T10101"
"T10101","A011RL","13","Residential","2023Q1","Fisher Quantity Index","Percent change, annual rate","0",-6.6,"T10101"
