"year","period","periodName","value","seriesID"
"2025","M08","August","5.0","LASST340000000000003"
"2025","M07","July","4.9","LASST340000000000003"
"2025","M06","June","4.9","LASST340000000000003"
"2025","M05","May","4.8","LASST340000000000003"
"2025","M04","April","4.8","LASST340000000000003"
"2025","M03","March","4.7","LASST340000000000003"
"2025","M02","February","4.6","LASST340000000000003"
"2025","M01","January","4.6","LASST340000000000003"
"2024","M12","December","4.6","LASST340000000000003"
"2024","M11","November","4.6","LASST340000000000003"
"2024","M10","October","4.6","LASST340000000000003"
"2024","M09","September","4.6","LASST340000000000003"
"2024","M08","August","4.6","LASST340000000000003"
"2024","M07","July","4.6","LASST340000000000003"
"2024","M06","June","4.6","LASST340000000000003"
"2024","M05","May","4.5","LASST340000000000003"
"2024","M04","April","4.5","LASST340000000000003"
"2024","M03","March","4.4","LASST340000000000003"
"2024","M02","February","4.4","LASST340000000000003"
"2024","M01","January","4.4","LASST340000000000003"
"2023","M12","December","4.5","LASST340000000000003"
"2023","M11","November","4.5","LASST340000000000003"
"2023","M10","October","4.5","LASST340000000000003"
"2023","M09","September","4.5","LASST340000000000003"
"2023","M08","August","4.4","LASST340000000000003"
"2023","M07","July","4.4","LASST340000000000003"
"2023","M06","June","4.3","LASST340000000000003"
"2023","M05","May","4.2","LASST340000000000003"
"2023","M04","April","4.1","LASST340000000000003"
"2023","M03","March","4.0","LASST340000000000003"
"2023","M02","February","4.0","LASST340000000000003"
"2023","M01","January","3.9","LASST340000000000003"
"2022","M12","December","3.8","LASST340000000000003"
"2022","M11","November","3.6","LASST340000000000003"
"2022","M10","October","3.5","LASST340000000000003"
"2022","M09","September","3.3","LASST340000000000003"
"2022","M08","August","3.0","LASST340000000000003"
"2022","M07","July","3.3","LASST340000000000003"
"2022","M06","June","3.6","LASST340000000000003"
"2022","M05","May","3.8","LASST340000000000003"
"2022","M04","April","4.1","LASST340000000000003"
"2022","M03","March","4.3","LASST340000000000003"
"2022","M02","February","4.7","LASST340000000000003"
"2022","M01","January","5.2","LASST340000000000003"
"2021","M12","December","5.5","LASST340000000000003"
"2021","M11","November","5.6","LASST340000000000003"
"2021","M10","October","6.0","LASST340000000000003"
"2021","M09","September","6.3","LASST340000000000003"
"2021","M08","August","6.8","LASST340000000000003"
"2021","M07","July","6.9","LASST340000000000003"
"2021","M06","June","7.2","LASST340000000000003"
"2021","M05","May","7.0","LASST340000000000003"
"2021","M04","April","7.2","LASST340000000000003"
"2021","M03","March","7.2","LASST340000000000003"
"2021","M02","February","7.3","LASST340000000000003"
"2021","M01","January","7.3","LASST340000000000003"
"2020","M12","December","7.3","LASST340000000000003"
"2020","M11","November","7.2","LASST340000000000003"
"2020","M10","October","7.1","LASST340000000000003"
"2020","M09","September","7.4","LASST340000000000003"
"2020","M08","August","13.3","LASST340000000000003"
"2020","M07","July","14.4","LASST340000000000003"
"2020","M06","June","14.5","LASST340000000000003"
"2020","M05","May","15.4","LASST340000000000003"
"2020","M04","April","15.0","LASST340000000000003"
"2020","M03","March","4.1","LASST340000000000003"
"2020","M02","February","4.1","LASST340000000000003"
"2020","M01","January","4.0","LASST340000000000003"
"2019","M12","December","3.9","LASST340000000000003"
"2019","M11","November","3.8","LASST340000000000003"
"2019","M10","October","3.7","LASST340000000000003"
"2019","M09","September","3.6","LASST340000000000003"
"2019","M08","August","3.4","LASST340000000000003"
"2019","M07","July","3.3","LASST340000000000003"
"2019","M06","June","3.2","LASST340000000000003"
"2019","M05","May","3.2","LASST340000000000003"
"2019","M04","April","3.2","LASST340000000000003"
"2019","M03","March","3.3","LASST340000000000003"
"2019","M02","February","3.4","LASST340000000000003"
"2019","M01","January","3.5","LASST340000000000003"
"2018","M12","December","3.6","LASST340000000000003"
"2018","M11","November","3.7","LASST340000000000003"
"2018","M10","October","3.7","LASST340000000000003"
"2018","M09","September","3.8","LASST340000000000003"
"2018","M08","August","3.9","LASST340000000000003"
"2018","M07","July","4.0","LASST340000000000003"
"2018","M06","June","4.1","LASST340000000000003"
"2018","M05","May","4.1","LASST340000000000003"
"2018","M04","April","4.2","LASST340000000000003"
"2018","M03","March","4.3","LASST340000000000003"
"2018","M02","February","4.4","LASST340000000000003"
"2018","M01","January","4.4","LASST340000000000003"
"2017","M12","December","4.5","LASST340000000000003"
"2017","M11","November","4.6","LASST340000000000003"
"2017","M10","October","4.6","LASST340000000000003"
"2017","M09","September","4.6","LASST340000000000003"
"2017","M08","August","4.6","LASST340000000000003"
"2017","M07","July","4.5","LASST340000000000003"
"2017","M06","June","4.5","LASST340000000000003"
"2017","M05","May","4.4","LASST340000000000003"
"2017","M04","April","4.4","LASST340000000000003"
"2017","M03","March","4.4","LASST340000000000003"
"2017","M02","February","4.5","LASST340000000000003"
"2017","M01","January","4.6","LASST340000000000003"
"2016","M12","December","4.7","LASST340000000000003"
"2016","M11","November","4.8","LASST340000000000003"
"2016","M10","October","4.9","LASST340000000000003"
"2016","M09","September","4.9","LASST340000000000003"
"2016","M08","August","5.0","LASST340000000000003"
"2016","M07","July","5.0","LASST340000000000003"
"2016","M06","June","5.0","LASST340000000000003"
"2016","M05","May","5.0","LASST340000000000003"
"2016","M04","April","5.0","LASST340000000000003"
"2016","M03","March","5.0","LASST340000000000003"
"2016","M02","February","5.0","LASST340000000000003"
"2016","M01","January","4.9","LASST340000000000003"
"2015","M12","December","5.0","LASST340000000000003"
"2015","M11","November","5.0","LASST340000000000003"
"2015","M10","October","5.1","LASST340000000000003"
"2015","M09","September","5.3","LASST340000000000003"
"2015","M08","August","5.5","LASST340000000000003"
"2015","M07","July","5.7","LASST340000000000003"
"2015","M06","June","5.8","LASST340000000000003"
"2015","M05","May","6.0","LASST340000000000003"
"2015","M04","April","6.1","LASST340000000000003"
"2015","M03","March","6.2","LASST340000000000003"
"2015","M02","February","6.3","LASST340000000000003"
"2015","M01","January","6.3","LASST340000000000003"
"2014","M12","December","6.4","LASST340000000000003"
"2014","M11","November","6.5","LASST340000000000003"
"2014","M10","October","6.5","LASST340000000000003"
"2014","M09","September","6.5","LASST340000000000003"
"2014","M08","August","6.5","LASST340000000000003"
"2014","M07","July","6.6","LASST340000000000003"
"2014","M06","June","6.6","LASST340000000000003"
"2014","M05","May","6.7","LASST340000000000003"
"2014","M04","April","6.8","LASST340000000000003"
"2014","M03","March","6.9","LASST340000000000003"
"2014","M02","February","7.0","LASST340000000000003"
"2014","M01","January","7.2","LASST340000000000003"
"2013","M12","December","7.4","LASST340000000000003"
"2013","M11","November","7.6","LASST340000000000003"
"2013","M10","October","7.8","LASST340000000000003"
"2013","M09","September","8.0","LASST340000000000003"
"2013","M08","August","8.3","LASST340000000000003"
"2013","M07","July","8.4","LASST340000000000003"
"2013","M06","June","8.6","LASST340000000000003"
"2013","M05","May","8.7","LASST340000000000003"
"2013","M04","April","8.9","LASST340000000000003"
"2013","M03","March","9.0","LASST340000000000003"
"2013","M02","February","9.1","LASST340000000000003"
"2013","M01","January","9.2","LASST340000000000003"
"2012","M12","December","9.3","LASST340000000000003"
"2012","M11","November","9.4","LASST340000000000003"
"2012","M10","October","9.4","LASST340000000000003"
"2012","M09","September","9.5","LASST340000000000003"
"2012","M08","August","9.5","LASST340000000000003"
"2012","M07","July","9.6","LASST340000000000003"
"2012","M06","June","9.6","LASST340000000000003"
"2012","M05","May","9.6","LASST340000000000003"
"2012","M04","April","9.5","LASST340000000000003"
"2012","M03","March","9.4","LASST340000000000003"
"2012","M02","February","9.3","LASST340000000000003"
"2012","M01","January","9.3","LASST340000000000003"
"2011","M12","December","9.3","LASST340000000000003"
"2011","M11","November","9.3","LASST340000000000003"
"2011","M10","October","9.3","LASST340000000000003"
"2011","M09","September","9.4","LASST340000000000003"
"2011","M08","August","9.4","LASST340000000000003"
"2011","M07","July","9.4","LASST340000000000003"
"2011","M06","June","9.4","LASST340000000000003"
"2011","M05","May","9.4","LASST340000000000003"
"2011","M04","April","9.4","LASST340000000000003"
"2011","M03","March","9.5","LASST340000000000003"
"2011","M02","February","9.5","LASST340000000000003"
"2011","M01","January","9.5","LASST340000000000003"
"2010","M12","December","9.5","LASST340000000000003"
"2010","M11","November","9.5","LASST340000000000003"
"2010","M10","October","9.5","LASST340000000000003"
"2010","M09","September","9.5","LASST340000000000003"
"2010","M08","August","9.5","LASST340000000000003"
"2010","M07","July","9.5","LASST340000000000003"
"2010","M06","June","9.6","LASST340000000000003"
"2010","M05","May","9.7","LASST340000000000003"
"2010","M04","April","9.8","LASST340000000000003"
"2010","M03","March","9.9","LASST340000000000003"
"2010","M02","February","10.0","LASST340000000000003"
"2010","M01","January","10.0","LASST340000000000003"
